hhid,year,country,region,wealth_raw,water_source,water_minutes_raw,head_age_raw,head_sex,electricity,floor_material,wall_material,bednets_raw,positive_rate,sampled_member_count
01000000,2014,Lumen,Region 1,27847,unprotected well,998,98,male,0,dirty,finished,-99,0.000000,1
01000001,2014,Lumen,Region 2,-21832,piped on premises,996,45,male,1,cement,finished,1,1.000000,2
01000002,2014,Lumen,Region 3,-51874,"river, dam, lake, pond, stream, canal or irrigation channel",43,59,male,0,dirt,natural,4,0.666667,3
01000003,2014,Lumen,Region 4,-59493,"river, dam, lake, pond, stream, canal or irrigation channel",29,57,male,1,dirt,natural,1,0.250000,4
01000004,2014,Lumen,Region 1,-21082,public tap,30,32,male,0,cement,finished,3,0.000000,1
01000005,2014,Lumen,Region 2,59526,protected well,6,35,male,0,cement,finished,3,0.500000,2
01000006,2014,Lumen,Region 3,-180870,unprotected well,51,62,male,0,dirt,natural,4,0.333333,3
01000007,2014,Lumen,Region 4,3194,protected well,23,50,male,0,cement,finished,2,0.000000,4
01000008,2014,Lumen,Region 1,-120771,"river, dam, lake, pond, stream, canal or irrigation channel",38,50,male,0,dirt,natural,3,1.000000,1
01000009,2014,Lumen,Region 2,-194814,unprotected well,41,45,male,0,dirt,natural,0,0.000000,2
01000010,2014,Lumen,Region 3,-109919,public tap,64,37,male,0,dirt,natural,2,0.666667,3
01000011,2014,Lumen,Region 4,-16391,piped on premises,996,42,male,1,cement,finished,2,0.250000,4
01000012,2014,Lumen,Region 1,194901,piped on premises,996,35,male,1,cement,finished,3,0.000000,1
01000013,2014,Lumen,Region 2,115812,unprotected well,22,28,male,1,cement,finished,4,0.000000,2
01000014,2014,Lumen,Region 3,-33231,unprotected well,48,48,male,0,dirt,finished,2,0.000000,3
01000015,2014,Lumen,Region 4,177707,piped on premises,996,61,male,1,cement,finished,5,0.000000,4
01000016,2014,Lumen,Region 1,-107244,unprotected well,34,58,male,0,dirt,natural,1,1.000000,1
01000017,2014,Lumen,Region 2,92403,protected well,30,42,male,1,cement,finished,1,0.000000,2
01000018,2014,Lumen,Region 3,-142869,public tap,22,53,male,0,dirt,natural,2,0.333333,3
01000019,2014,Lumen,Region 4,-94967,protected well,60,46,female,0,dirt,natural,1,0.500000,4
01000020,2014,Lumen,Region 1,-36682,public tap,39,39,male,0,dirt,finished,2,1.000000,1
01000021,2014,Lumen,Region 2,65687,piped on premises,996,27,male,1,cement,finished,2,0.500000,2
01000022,2014,Lumen,Region 3,-17427,piped on premises,996,43,male,0,cement,finished,3,0.333333,3
01000023,2014,Lumen,Region 4,82868,protected well,24,48,male,1,cement,finished,3,0.250000,4
01000024,2014,Lumen,Region 1,-146433,public tap,47,42,male,0,dirt,natural,2,1.000000,1
01000025,2014,Lumen,Region 2,94814,public tap,47,51,male,1,cement,finished,2,0.000000,2
01000026,2014,Lumen,Region 3,50781,protected well,34,40,male,1,cement,finished,3,0.000000,3
01000027,2014,Lumen,Region 4,1159,"river, dam, lake, pond, stream, canal or irrigation channel",43,44,male,1,cement,finished,2,0.250000,4
01000028,2014,Lumen,Region 1,12459,protected well,29,70,male,1,cement,finished,2,1.000000,1
01000029,2014,Lumen,Region 2,114072,public tap,22,65,male,1,cement,finished,4,0.000000,2
01000030,2014,Lumen,Region 3,31651,public tap,22,52,female,1,cement,finished,2,0.000000,3
01000031,2014,Lumen,Region 4,-145997,protected well,25,48,male,0,dirt,natural,4,0.500000,4
01000032,2014,Lumen,Region 1,164696,protected well,15,24,male,1,cement,finished,2,0.000000,1
01000033,2014,Lumen,Region 2,-6272,public tap,27,38,female,1,cement,finished,3,0.500000,2
01000034,2014,Lumen,Region 3,-302092,"river, dam, lake, pond, stream, canal or irrigation channel",63,38,male,0,dirt,natural,1,1.000000,3
01000035,2014,Lumen,Region 4,89969,"river, dam, lake, pond, stream, canal or irrigation channel",25,43,male,1,cement,finished,2,0.500000,4
01000036,2014,Lumen,Region 1,119722,piped on premises,996,30,male,1,cement,finished,1,0.000000,1
01000037,2014,Lumen,Region 2,-28236,unprotected well,47,24,male,0,cement,finished,2,0.000000,2
01000038,2014,Lumen,Region 3,-38884,"river, dam, lake, pond, stream, canal or irrigation channel",28,40,male,0,dirt,finished,1,0.666667,3
01000039,2014,Lumen,Region 4,-133056,"river, dam, lake, pond, stream, canal or irrigation channel",19,45,female,0,dirt,natural,1,0.500000,4
01000040,2014,Lumen,Region 1,15369,public tap,24,30,male,1,cement,finished,2,0.000000,1
01000041,2014,Lumen,Region 2,-89639,piped on premises,998,25,male,0,dirt,natural,3,0.500000,2
01000042,2014,Lumen,Region 3,-118940,public tap,18,79,male,0,dirt,natural,4,0.333333,3
01000043,2014,Lumen,Region 4,42898,piped on premises,996,42,male,1,cement,finished,3,0.000000,4
01000044,2014,Lumen,Region 1,-9737,piped on premises,996,69,male,1,cement,finished,2,0.000000,1
01000045,2014,Lumen,Region 2,-31584,public tap,29,47,male,0,dirt,finished,2,0.000000,2
01000046,2014,Lumen,Region 3,-86991,piped on premises,996,33,female,0,dirt,natural,2,0.666667,3
01000047,2014,Lumen,Region 4,70603,piped on premises,996,56,male,1,cement,finished,0,0.000000,4
01000048,2014,Lumen,Region 1,39496,public tap,49,20,male,1,cement,finished,2,0.000000,1
