hhid,positive_rate
04000001,0.500000
04000002,0.000000
04000003,0.250000
04000004,1.000000
04000005,0.000000
04000006,0.000000
04000008,0.000000
04000009,0.000000
04000010,0.000000
04000011,0.750000
04000012,0.000000
04000013,0.000000
04000015,0.500000
04000016,0.000000
04000017,0.500000
04000018,0.333333
04000019,0.000000
04000020,0.000000
04000022,0.000000
04000023,0.750000
04000024,0.000000
04000025,0.500000
04000026,0.333333
04000027,0.000000
04000029,0.000000
04000030,0.000000
04000031,0.750000
04000032,0.000000
04000033,0.000000
04000034,0.000000
04000036,1.000000
04000037,0.000000
04000038,0.000000
04000039,0.250000
04000040,0.000000
04000041,0.500000
04000043,0.000000
04000044,0.000000
04000045,0.000000
04000046,0.333333
04000047,0.250000
04000048,0.000000
04000050,0.333333
04000051,0.250000
04000052,0.000000
04000053,0.500000
04000054,0.666667
04000055,0.500000
04000057,0.000000
04000058,0.666667
04000059,0.000000
04000060,0.000000
04000061,0.000000
04000062,0.333333
04000064,0.000000
04000065,0.000000
04000066,0.333333
04000067,0.250000
04000068,1.000000
04000069,0.000000
04000071,0.500000
04000072,0.000000
04000073,0.000000
04000074,0.333333
04000075,0.750000
04000076,0.000000
04000078,0.333333
04000079,0.250000
04000080,0.000000
04000081,0.500000
04000082,0.000000
04000083,0.500000
04000085,0.000000
04000086,0.333333
04000087,0.500000
04000088,0.000000
04000089,0.000000
04000090,1.000000
04000092,0.000000
04000093,0.000000
04000094,0.666667
04000095,0.500000
04000096,0.000000
04000097,1.000000
04000099,0.000000
04000100,1.000000
04000101,0.500000
04000102,1.000000
04000103,0.250000
04000104,0.000000
04000106,0.000000
04000107,0.000000
04000108,0.000000
04000109,0.000000
04000110,0.666667
04000111,0.750000
04000113,0.000000
04000114,0.666667
04000115,0.500000
04000116,0.000000
04000117,0.000000
04000118,0.000000
04000120,1.000000
04000121,0.500000
04000122,0.666667
04000123,0.500000
04000124,1.000000
04000125,0.000000
04000127,0.000000
04000128,1.000000
04000129,0.000000
04000130,0.333333
04000131,0.500000
04000132,0.000000
04000134,0.333333
04000135,0.000000
04000136,1.000000
04000137,0.000000
04000138,0.666667
04000139,0.000000
04000141,1.000000
04000142,0.333333
04000143,0.000000
04000144,0.000000
04000145,0.000000
04000146,0.000000
04000148,0.000000
04000149,0.000000
04000150,0.000000
04000151,0.250000
04000152,0.000000
04000153,0.500000
04000155,0.250000
04000156,0.000000
04000157,0.000000
04000158,0.000000
04000159,0.500000
04000160,0.000000
04000162,0.000000
04000163,0.250000
04000164,0.000000
04000165,0.000000
04000166,0.333333
04000167,0.250000
04000169,0.000000
04000170,0.333333
04000171,0.250000
04000172,0.000000
04000173,0.500000
04000174,0.000000
04000176,1.000000
04000177,0.000000
04000178,0.333333
04000179,1.000000
04000180,0.000000
04000181,0.000000
04000183,0.250000
04000184,0.000000
04000185,0.500000
04000186,0.333333
04000187,0.000000
04000188,0.000000
04000190,0.333333
04000191,0.250000
04000192,0.000000
04000193,0.500000
04000194,0.333333
04000195,0.250000
04000197,1.000000
04000198,0.000000
04000199,0.250000
04000200,0.000000
04000201,0.500000
04000202,0.333333
04000204,0.000000
04000205,1.000000
04000206,0.000000
04000207,0.250000
04000208,0.000000
04000209,0.000000
04000211,0.000000
04000212,0.000000
04000213,0.000000
04000214,0.333333
04000215,0.500000
04000216,0.000000
04000218,0.333333
04000219,0.750000
04000220,0.000000
04000221,0.000000
04000222,0.666667
04000223,0.500000
04000225,0.500000
04000226,0.000000
04000227,0.750000
04000228,1.000000
04000229,0.500000
04000230,0.000000
04000232,0.000000
04000233,0.500000
04000234,0.333333
04000235,0.000000
04000236,0.000000
04000237,0.500000
04000239,0.500000
04000240,0.000000
04000241,0.500000
04000242,0.333333
04000243,0.000000
04000244,0.000000
04000246,0.333333
04000247,0.500000
04000248,1.000000
04000249,0.500000
04000250,0.000000
04000251,0.500000
04000253,0.000000
04000254,0.000000
04000255,0.500000
04000256,1.000000
04000257,0.000000
04000258,0.666667
04000260,1.000000
04000261,0.000000
04000262,1.000000
04000263,0.750000
04000264,1.000000
04000265,0.000000
04000267,0.000000
04000268,1.000000
04000269,0.000000
04000270,0.333333
04000271,0.250000
04000272,1.000000
04000274,0.333333
04000275,0.000000
04000276,1.000000
04000277,0.500000
04000278,0.000000
04000279,0.000000
04000281,0.000000
04000282,0.000000
04000283,0.250000
04000284,0.000000
04000285,0.500000
04000286,0.333333
04000288,0.000000
04000289,1.000000
04000290,0.666667
04000291,0.250000
04000292,1.000000
04000293,0.000000
04000295,0.750000
04000296,0.000000
04000297,0.000000
04000298,0.333333
04000299,0.000000
04000300,0.000000
04000302,0.000000
04000303,0.000000
04000304,1.000000
04000305,0.000000
04000306,0.333333
04000307,0.500000
04000309,0.000000
04000310,0.000000
04000311,0.000000
04000312,0.000000
04000313,0.000000
04000314,0.333333
04000316,0.000000
04000317,0.500000
04000318,0.000000
04000319,1.000000
04000320,0.000000
04000321,0.500000
04000323,0.000000
04000324,1.000000
04000325,0.000000
04000326,0.000000
04000327,0.250000
04000328,0.000000
04000330,0.333333
04000331,0.000000
04000332,0.000000
04000333,0.500000
04000334,0.000000
04000335,0.250000
04000337,0.000000
04000338,0.000000
04000339,1.000000
04000340,0.000000
04000341,0.000000
04000342,0.000000
04000344,1.000000
04000345,1.000000
04000346,0.333333
04000347,0.500000
04000348,1.000000
04000349,0.000000
04000351,0.500000
04000352,0.000000
04000353,0.500000
04000354,0.333333
04000355,0.500000
04000356,0.000000
04000358,0.666667
04000359,0.500000
