hhid,year,country,region,wealth_raw,water_source,water_minutes_raw,head_age_raw,head_sex,electricity,floor_material,wall_material,bednets_raw,positive_rate,sampled_member_count
   04000000,2018,Lumen,Region 1,-74424,piped on premises,998,98,male,0,dirty,natural,-99,,
   04000001,2018,Lumen,Region 2,3111,public tap,13,31,male,1,cement,finished,2,,
   04000002,2018,Lumen,Region 3,87075,piped on premises,996,32,male,1,cement,finished,3,,
   04000003,2018,Lumen,Region 4,-30268,protected well,39,58,male,0,dirt,finished,2,,
   04000004,2018,Lumen,Region 1,85664,public tap,50,21,male,1,cement,finished,4,,
   04000005,2018,Lumen,Region 2,-132536,"river, dam, lake, pond, stream, canal or irrigation channel",43,29,male,0,dirt,natural,2,,
   04000006,2018,Lumen,Region 3,-38649,"river, dam, lake, pond, stream, canal or irrigation channel",25,48,female,0,dirt,finished,2,,
   04000007,2018,Lumen,Region 4,-152647,public tap,43,32,male,0,dirt,natural,3,,
   04000008,2018,Lumen,Region 1,-101969,"river, dam, lake, pond, stream, canal or irrigation channel",32,38,male,0,dirt,natural,2,,
   04000009,2018,Lumen,Region 2,144994,piped on premises,996,38,male,1,cement,finished,2,,
   04000010,2018,Lumen,Region 3,477,"river, dam, lake, pond, stream, canal or irrigation channel",28,65,male,0,cement,finished,2,,
   04000011,2018,Lumen,Region 4,8683,piped on premises,996,29,male,1,cement,finished,1,,
   04000012,2018,Lumen,Region 1,19128,unprotected well,28,53,female,0,cement,finished,2,,
   04000013,2018,Lumen,Region 2,63231,piped on premises,996,77,male,1,cement,finished,2,,
   04000014,2018,Lumen,Region 3,51567,unprotected well,36,39,male,1,cement,finished,2,,
   04000015,2018,Lumen,Region 4,-5194,"river, dam, lake, pond, stream, canal or irrigation channel",29,40,male,0,cement,finished,2,,
   04000016,2018,Lumen,Region 1,37830,"river, dam, lake, pond, stream, canal or irrigation channel",37,41,male,1,cement,finished,2,,
   04000017,2018,Lumen,Region 2,-21929,unprotected well,42,53,male,0,cement,finished,2,,
   04000018,2018,Lumen,Region 3,39186,protected well,30,29,male,0,cement,finished,2,,
   04000019,2018,Lumen,Region 4,-12661,"river, dam, lake, pond, stream, canal or irrigation channel",41,30,male,1,cement,finished,2,,
