hhid,year,country,region,wealth_raw,water_source,water_minutes_raw,head_age_raw,head_sex,electricity,floor_material,wall_material,bednets_raw,positive_rate,sampled_member_count
03000000,2021,Noria,Region 1,80200,public tap,998,98,male,1,dirty,finished,-99,0.000000,1
03000001,2021,Noria,Region 2,228729,public tap,15,58,male,1,cement,finished,3,0.000000,2
03000002,2021,Noria,Region 3,59892,piped on premises,996,66,male,1,cement,finished,2,0.333333,3
03000003,2021,Noria,Region 4,162376,protected well,33,20,male,1,cement,finished,3,0.000000,4
03000004,2021,Noria,Region 1,-22087,protected well,27,38,male,1,cement,finished,2,0.000000,1
03000005,2021,Noria,Region 2,-82523,protected well,32,34,male,0,dirt,natural,1,0.500000,2
03000006,2021,Noria,Region 3,-56197,protected well,18,29,male,0,dirt,natural,1,0.666667,3
03000007,2021,Noria,Region 4,185322,public tap,35,43,male,1,cement,finished,3,0.750000,4
03000008,2021,Noria,Region 1,141200,public tap,19,53,male,1,cement,finished,5,0.000000,1
03000009,2021,Noria,Region 2,105302,unprotected well,32,29,female,1,cement,finished,3,0.000000,2
03000010,2021,Noria,Region 3,70310,piped on premises,996,31,male,1,cement,finished,2,0.333333,3
03000011,2021,Noria,Region 4,74669,protected well,36,39,male,1,cement,finished,2,1.000000,4
03000012,2021,Noria,Region 1,32004,unprotected well,38,39,male,1,cement,finished,4,0.000000,1
03000013,2021,Noria,Region 2,165396,piped on premises,996,38,male,1,cement,finished,3,0.000000,2
03000014,2021,Noria,Region 3,103998,piped on premises,996,36,female,1,cement,finished,2,0.333333,3
03000015,2021,Noria,Region 4,-106317,protected well,29,63,male,0,dirt,natural,2,0.500000,4
03000016,2021,Noria,Region 1,39732,protected well,21,40,male,0,cement,finished,3,0.000000,1
03000017,2021,Noria,Region 2,-156392,protected well,32,86,male,0,dirt,natural,1,1.000000,2
03000018,2021,Noria,Region 3,31553,piped on premises,996,37,male,1,cement,finished,1,0.666667,3
03000019,2021,Noria,Region 4,52490,unprotected well,34,62,male,0,cement,finished,2,0.000000,4
03000020,2021,Noria,Region 1,11718,unprotected well,21,61,female,0,cement,finished,1,0.000000,1
03000021,2021,Noria,Region 2,-104817,public tap,36,52,male,0,dirt,natural,2,1.000000,2
03000022,2021,Noria,Region 3,52804,protected well,22,53,female,1,cement,finished,2,1.000000,3
03000023,2021,Noria,Region 4,-12778,unprotected well,53,33,male,0,cement,finished,4,0.500000,4
03000024,2021,Noria,Region 1,-44570,unprotected well,25,28,male,0,dirt,finished,2,1.000000,1
03000025,2021,Noria,Region 2,128550,public tap,48,52,female,1,cement,finished,3,0.000000,2
03000026,2021,Noria,Region 3,123697,public tap,14,32,male,1,cement,finished,2,0.000000,3
03000027,2021,Noria,Region 4,-3402,unprotected well,26,60,male,1,cement,finished,1,0.500000,4
03000028,2021,Noria,Region 1,71700,public tap,30,54,male,0,cement,finished,3,1.000000,1
03000029,2021,Noria,Region 2,60713,public tap,7,75,female,0,cement,finished,5,0.000000,2
03000030,2021,Noria,Region 3,-16575,piped on premises,996,41,female,0,cement,finished,1,0.333333,3
03000031,2021,Noria,Region 4,16212,piped on premises,996,50,male,0,cement,finished,3,0.500000,4
03000032,2021,Noria,Region 1,107281,protected well,42,40,male,1,cement,finished,2,0.000000,1
03000033,2021,Noria,Region 2,-59534,piped on premises,996,54,male,0,dirt,natural,0,0.000000,2
03000034,2021,Noria,Region 3,-69280,piped on premises,996,36,male,0,dirt,natural,3,0.333333,3
03000035,2021,Noria,Region 4,166587,piped on premises,996,71,male,1,cement,finished,1,0.000000,4
03000036,2021,Noria,Region 1,-55422,piped on premises,996,52,male,0,dirt,natural,3,0.000000,1
03000037,2021,Noria,Region 2,110649,protected well,20,26,male,1,cement,finished,3,0.000000,2
03000038,2021,Noria,Region 3,-58352,public tap,22,20,male,0,dirt,natural,3,0.666667,3
03000039,2021,Noria,Region 4,85589,unprotected well,33,40,male,1,cement,finished,1,0.500000,4
03000040,2021,Noria,Region 1,20709,piped on premises,996,43,male,1,cement,finished,2,1.000000,1
03000041,2021,Noria,Region 2,18358,piped on premises,998,78,male,0,cement,finished,1,0.000000,2
03000042,2021,Noria,Region 3,92573,piped on premises,996,42,male,0,cement,finished,3,0.000000,3
03000043,2021,Noria,Region 4,109447,protected well,19,45,male,1,cement,finished,0,0.500000,4
03000044,2021,Noria,Region 1,-7919,public tap,25,49,male,1,cement,finished,2,1.000000,1
03000045,2021,Noria,Region 2,85821,piped on premises,996,22,male,1,cement,finished,4,0.500000,2
03000046,2021,Noria,Region 3,105648,piped on premises,996,34,male,1,cement,finished,3,0.000000,3
03000047,2021,Noria,Region 4,48095,public tap,18,64,female,1,cement,finished,3,0.250000,4
03000048,2021,Noria,Region 1,133192,piped on premises,996,29,male,1,cement,finished,2,0.000000,1
03000049,2021,Noria,Region 2,51579,unprotected well,47,60,male,1,cement,finished,2,0.000000,2
03000050,2021,Noria,Region 3,108375,public tap,14,30,male,1,cement,finished,2,0.333333,3
03000051,2021,Noria,Region 4,-70504,protected well,30,52,male,1,dirt,natural,3,0.500000,4
03000052,2021,Noria,Region 1,-64449,protected well,22,52,male,0,dirt,natural,3,1.000000,1
03000053,2021,Noria,Region 2,-34445,public tap,23,30,male,0,dirt,finished,2,0.500000,2
03000054,2021,Noria,Region 3,84883,piped on premises,996,24,male,1,cement,finished,4,0.333333,3
03000055,2021,Noria,Region 4,14636,protected well,9,59,male,0,cement,finished,4,0.250000,4
03000056,2021,Noria,Region 1,116112,protected well,50,33,male,1,cement,finished,1,0.000000,1
03000057,2021,Noria,Region 2,83834,public tap,24,23,male,1,cement,finished,3,0.000000,2
03000058,2021,Noria,Region 3,-38283,protected well,32,52,male,0,dirt,finished,2,1.000000,3
03000059,2021,Noria,Region 4,183518,public tap,43,42,male,1,cement,finished,2,0.000000,4
03000060,2021,Noria,Region 1,-58763,protected well,15,48,male,0,dirt,natural,1,1.000000,1
03000061,2021,Noria,Region 2,-45858,protected well,38,65,male,0,dirt,natural,2,1.000000,2
03000062,2021,Noria,Region 3,-127371,"river, dam, lake, pond, stream, canal or irrigation channel",39,48,male,1,dirt,natural,2,0.000000,3
03000063,2021,Noria,Region 4,-45925,"river, dam, lake, pond, stream, canal or irrigation channel",50,37,male,0,dirt,natural,1,0.750000,4
03000064,2021,Noria,Region 1,186178,piped on premises,996,37,female,1,cement,finished,2,0.000000,1
03000065,2021,Noria,Region 2,-39933,public tap,21,31,female,0,dirt,finished,2,0.000000,2
03000066,2021,Noria,Region 3,156308,piped on premises,996,39,male,1,cement,finished,2,0.000000,3
03000067,2021,Noria,Region 4,250209,piped on premises,996,43,male,1,cement,finished,1,0.250000,4
03000068,2021,Noria,Region 1,-99533,"river, dam, lake, pond, stream, canal or irrigation channel",48,29,male,0,dirt,natural,3,1.000000,1
03000069,2021,Noria,Region 2,2646,"river, dam, lake, pond, stream, canal or irrigation channel",37,53,female,0,cement,finished,3,0.000000,2
