point_id,latitude,longitude,group
P001,0.125594,31.747424,A
P002,1.058683,33.724606,A
P003,0.824683,33.149534,A
P004,2.811021,34.415061,A
P005,-1.255664,30.703069,A
P006,2.138972,33.512262,A
P007,-0.874326,34.633583,A
P008,-0.974685,33.629015,A
P009,2.777664,31.434097,A
P010,2.960574,32.605241,A
P011,2.160506,30.410432,A
P012,0.718683,32.42777,A
P013,-0.144536,32.122032,A
P014,3.015456,32.29649,A
P015,1.003704,34.571416,A
P016,0.0928,31.549019,A
P017,2.214111,30.18501,A
P018,1.953801,32.554474,A
P019,1.754782,32.435938,A
P020,2.964697,31.196142,A
P021,-0.000481,33.643893,A
P022,-1.188458,31.144325,A
P023,3.214437,34.221133,A
P024,1.094161,32.168327,A
P025,2.77845,33.463799,A
P026,1.100004,34.625256,A
P027,1.833521,33.676281,A
P028,-0.795622,33.492896,A
P029,1.258174,30.185838,A
P030,3.086641,32.458123,A
P031,2.24067,34.632443,A
P032,2.669831,31.442877,A
P033,1.126265,34.589591,A
P034,-1.207001,32.33627,A
P035,0.255737,32.749545,A
P036,1.090839,33.260882,A
P037,-0.303055,33.268939,A
P038,1.770605,30.601961,A
P039,-0.814707,33.53165,A
P040,3.01736,31.621465,A
P041,2.226838,34.133961,A
P042,0.029657,31.150792,A
P043,1.93458,34.540739,A
P044,3.14031,34.171045,A
P045,1.630501,31.228897,A
P046,2.859433,32.173765,A
P047,0.113312,30.715279,A
P048,3.067264,32.12812,A
P049,2.121221,32.735884,A
P050,0.931257,30.275851,A
P051,-1.268551,31.31523,B
P052,2.190659,32.319238,B
P053,-1.083109,34.634845,B
P054,2.7479,32.284509,B
P055,2.716563,34.79291,B
P056,1.956437,32.44531,B
P057,3.128436,34.530667,B
P058,1.117969,34.425822,B
P059,-0.823931,32.775392,B
P060,2.861041,31.192989,B
P061,-0.987332,30.570848,B
P062,-0.729558,30.362705,B
P063,2.084121,33.646563,B
P064,2.093712,32.722106,B
P065,-1.049056,34.319039,B
P066,-0.005115,30.533614,C
P067,1.894173,31.185279,C
P068,1.006966,33.361759,C
P069,-0.286445,32.514175,C
P070,-0.775563,33.657057,C
P071,3.241467,30.680226,C
P072,0.165338,33.257865,C
P073,-0.924714,30.315519,C
P074,0.145075,32.281927,C
P075,0.125594,31.747424,C
P076,1.058683,33.724606,D
P077,0.824683,33.149534,D
P078,2.811021,34.415061,D
P079,-1.255664,30.703069,D
P080,2.138972,33.512262,D
