source_record_key,survey_wave,hhid,year,country,region,positive_rate,sampled_member_count,wealth_index,water_source,water_minutes,head_age,female_head,electricity,poorwater,floor_material,wall_material,bednets
lumen_2014:1,Lumen 2014,01000000,2014,Lumen,Region 1,0.000000,1,0.278470,unprotected well,,,0,0,1,dirt,finished,
lumen_2014:2,Lumen 2014,01000001,2014,Lumen,Region 2,1.000000,2,-0.218320,piped on premises,0,45,0,1,0,cement,finished,1
lumen_2014:3,Lumen 2014,01000002,2014,Lumen,Region 3,0.666667,3,-0.518740,"river, dam, lake, pond, stream, canal or irrigation channel",43,59,0,0,1,dirt,natural,4
lumen_2014:4,Lumen 2014,01000003,2014,Lumen,Region 4,0.250000,4,-0.594930,"river, dam, lake, pond, stream, canal or irrigation channel",29,57,0,1,1,dirt,natural,1
lumen_2014:5,Lumen 2014,01000004,2014,Lumen,Region 1,0.000000,1,-0.210820,public tap,30,32,0,0,0,cement,finished,3
lumen_2014:6,Lumen 2014,01000005,2014,Lumen,Region 2,0.500000,2,0.595260,protected well,6,35,0,0,0,cement,finished,3
lumen_2014:7,Lumen 2014,01000006,2014,Lumen,Region 3,0.333333,3,-1.808700,unprotected well,51,62,0,0,1,dirt,natural,4
lumen_2014:8,Lumen 2014,01000007,2014,Lumen,Region 4,0.000000,4,0.031940,protected well,23,50,0,0,0,cement,finished,2
lumen_2014:9,Lumen 2014,01000008,2014,Lumen,Region 1,1.000000,1,-1.207710,"river, dam, lake, pond, stream, canal or irrigation channel",38,50,0,0,1,dirt,natural,3
lumen_2014:10,Lumen 2014,01000009,2014,Lumen,Region 2,0.000000,2,-1.948140,unprotected well,41,45,0,0,1,dirt,natural,0
lumen_2014:11,Lumen 2014,01000010,2014,Lumen,Region 3,0.666667,3,-1.099190,public tap,64,37,0,0,0,dirt,natural,2
lumen_2014:12,Lumen 2014,01000011,2014,Lumen,Region 4,0.250000,4,-0.163910,piped on premises,0,42,0,1,0,cement,finished,2
lumen_2014:13,Lumen 2014,01000012,2014,Lumen,Region 1,0.000000,1,1.949010,piped on premises,0,35,0,1,0,cement,finished,3
lumen_2014:14,Lumen 2014,01000013,2014,Lumen,Region 2,0.000000,2,1.158120,unprotected well,22,28,0,1,1,cement,finished,4
lumen_2014:15,Lumen 2014,01000014,2014,Lumen,Region 3,0.000000,3,-0.332310,unprotected well,48,48,0,0,1,dirt,finished,2
lumen_2014:16,Lumen 2014,01000015,2014,Lumen,Region 4,0.000000,4,1.777070,piped on premises,0,61,0,1,0,cement,finished,5
lumen_2014:17,Lumen 2014,01000016,2014,Lumen,Region 1,1.000000,1,-1.072440,unprotected well,34,58,0,0,1,dirt,natural,1
lumen_2014:18,Lumen 2014,01000017,2014,Lumen,Region 2,0.000000,2,0.924030,protected well,30,42,0,1,0,cement,finished,1
lumen_2014:19,Lumen 2014,01000018,2014,Lumen,Region 3,0.333333,3,-1.428690,public tap,22,53,0,0,0,dirt,natural,2
lumen_2014:20,Lumen 2014,01000019,2014,Lumen,Region 4,0.500000,4,-0.949670,protected well,60,46,1,0,0,dirt,natural,1
lumen_2014:21,Lumen 2014,01000020,2014,Lumen,Region 1,1.000000,1,-0.366820,public tap,39,39,0,0,0,dirt,finished,2
lumen_2014:22,Lumen 2014,01000021,2014,Lumen,Region 2,0.500000,2,0.656870,piped on premises,0,27,0,1,0,cement,finished,2
lumen_2014:23,Lumen 2014,01000022,2014,Lumen,Region 3,0.333333,3,-0.174270,piped on premises,0,43,0,0,0,cement,finished,3
lumen_2014:24,Lumen 2014,01000023,2014,Lumen,Region 4,0.250000,4,0.828680,protected well,24,48,0,1,0,cement,finished,3
lumen_2014:25,Lumen 2014,01000024,2014,Lumen,Region 1,1.000000,1,-1.464330,public tap,47,42,0,0,0,dirt,natural,2
lumen_2014:26,Lumen 2014,01000025,2014,Lumen,Region 2,0.000000,2,0.948140,public tap,47,51,0,1,0,cement,finished,2
lumen_2014:27,Lumen 2014,01000026,2014,Lumen,Region 3,0.000000,3,0.507810,protected well,34,40,0,1,0,cement,finished,3
lumen_2014:28,Lumen 2014,01000027,2014,Lumen,Region 4,0.250000,4,0.011590,"river, dam, lake, pond, stream, canal or irrigation channel",43,44,0,1,1,cement,finished,2
lumen_2014:29,Lumen 2014,01000028,2014,Lumen,Region 1,1.000000,1,0.124590,protected well,29,70,0,1,0,cement,finished,2
lumen_2014:30,Lumen 2014,01000029,2014,Lumen,Region 2,0.000000,2,1.140720,public tap,22,65,0,1,0,cement,finished,4
lumen_2014:31,Lumen 2014,01000030,2014,Lumen,Region 3,0.000000,3,0.316510,public tap,22,52,1,1,0,cement,finished,2
lumen_2014:32,Lumen 2014,01000031,2014,Lumen,Region 4,0.500000,4,-1.459970,protected well,25,48,0,0,0,dirt,natural,4
lumen_2014:33,Lumen 2014,01000032,2014,Lumen,Region 1,0.000000,1,1.646960,protected well,15,24,0,1,0,cement,finished,2
lumen_2014:34,Lumen 2014,01000033,2014,Lumen,Region 2,0.500000,2,-0.062720,public tap,27,38,1,1,0,cement,finished,3
lumen_2014:35,Lumen 2014,01000034,2014,Lumen,Region 3,1.000000,3,-3.020920,"river, dam, lake, pond, stream, canal or irrigation channel",63,38,0,0,1,dirt,natural,1
lumen_2014:36,Lumen 2014,01000035,2014,Lumen,Region 4,0.500000,4,0.899690,"river, dam, lake, pond, stream, canal or irrigation channel",25,43,0,1,1,cement,finished,2
lumen_2014:37,Lumen 2014,01000036,2014,Lumen,Region 1,0.000000,1,1.197220,piped on premises,0,30,0,1,0,cement,finished,1
lumen_2014:38,Lumen 2014,01000037,2014,Lumen,Region 2,0.000000,2,-0.282360,unprotected well,47,24,0,0,1,cement,finished,2
lumen_2014:39,Lumen 2014,01000038,2014,Lumen,Region 3,0.666667,3,-0.388840,"river, dam, lake, pond, stream, canal or irrigation channel",28,40,0,0,1,dirt,finished,1
